MONTHYEAR,PLAN_NAME,Customer,REGION,PRODUCT,NET REVENUE,Gross Revenue,Discount percentage ,
2022-03-01,Medium Business,Cust1774,NA,PD5,84.6,121,,
2021-04-01,LARGE BUSINESS,Cust11829,MEA,PD1,790,908,,
2021-12-01,SMALL BUSINESS,Cust11830,APJ,PD4,18,21,,
2021-06-01,LARGE BUSINESS,Cust11832,NA,PD1,414,414,,
2021-11-01,Medium Business,Cust11834,OTHERS,PD2,136,378,,
2021-09-01,SMALL BUSINESS,Cust11836,APJ,PD6,270.48,588,,
2022-03-01,SMALL BUSINESS,Cust11839,EU,PD1,17.1,20,,
2021-06-01,SMALL BUSINESS,Cust11842,NA,PD4,156.9,383,,
2022-03-01,SMALL BUSINESS,Cust11843,NA,PD1,45,50,,
2021-06-01,Medium Business,Cust11844,MEA,PD1,52,72,,
2021-01-01,SMALL BUSINESS,Cust11845,NA,PD1,76,76,,
2021-05-01,Medium Business,Cust6726,NA,PD1,35,47,,
2021-08-01,SMALL BUSINESS,Cust11849,NA,PD4,18,26,,
2021-09-01,SMALL BUSINESS,Cust11850,EU,PD6,184.5,212,,
2021-11-01,SMALL BUSINESS,Cust11851,EU,PD1,184.5,234,,
2021-06-01,SMALL BUSINESS,Cust11852,NA,PD4,175,175,,
2021-06-01,SMALL BUSINESS,Cust11853,NA,PD1,95,122,,
2021-01-01,SMALL BUSINESS,Cust11855,EU,PD1,171,244,,
2021-11-01,SMALL BUSINESS,Cust11856,APJ,PD1,36,50,,
2021-06-01,LARGE BUSINESS,Cust11857,NA,PD1,147,147,,
2022-03-01,Medium Business,Cust11858,OTHERS,PD2,276.3,368,,
2021-03-01,SMALL BUSINESS,Cust11860,NA,PD1,39.3,39,,
2021-10-01,SMALL BUSINESS,Cust11863,NA,PD1,105,105,,
2021-02-01,LARGE BUSINESS,Cust11864,EU,PD5,84.87,85,,
2022-02-01,Medium Business,Cust11865,MEA,PD1,270,303,,
2021-06-01,SMALL BUSINESS,Cust11866,INDIA,PD1,57,57,,
2021-02-01,Medium Business,Cust11868,APJ,PD6,109,136,,
2021-12-01,SMALL BUSINESS,Cust11869,APJ,PD6,136.5,177,,
2021-09-01,Medium Business,Cust11871,UK,PD4,238,277,,
2021-04-01,SMALL BUSINESS,Cust11872,NA,PD5,57,57,,
2021-03-01,Medium Business,Cust11873,NA,PD1,225,292,,
2021-06-01,SMALL BUSINESS,Cust11874,NA,PD1,90,122,,
2022-03-01,Medium Business,Cust11876,NA,PD1,374.85,426,,
2021-01-01,Medium Business,Cust11878,EU,PD3,35,40,,
2021-11-01,LARGE BUSINESS,Cust11879,EU,PD4,306,638,,
2021-08-01,SMALL BUSINESS,Cust11882,MEA,PD1,18,24,,
2022-03-01,SMALL BUSINESS,Cust11883,NA,PD1,40.5,55,,
2022-01-01,SMALL BUSINESS,Cust11884,EU,PD1,41.04,41,,
2022-03-01,SMALL BUSINESS,Cust11880,EU,PD1,18,18,,
2021-03-01,SMALL BUSINESS,Cust11885,NA,PD4,174,220,,
2021-04-01,LARGE BUSINESS,Cust11886,NA,PD6,3725.7,3726,,
2021-06-01,SMALL BUSINESS,Cust6795,NA,PD1,47.62494,60,,
2022-02-01,SMALL BUSINESS,Cust11888,UK,PD1,20.1,53,,
2021-02-01,LARGE BUSINESS,Cust2884,EU,PD1,182.655,183,,
2021-10-01,Medium Business,Cust11889,EU,PD1,856.8,1032,,
2021-02-01,Medium Business,Cust11890,OTHERS,PD2,150,197,,
2021-11-01,Medium Business,Cust759,EU,PD4,235,235,,
2021-07-01,SMALL BUSINESS,Cust11894,NA,PD4,70,93,,
2021-01-01,SMALL BUSINESS,Cust11895,NA,PD9,50,65,,
2022-03-01,Medium Business,Cust11898,NA,PD1,177,224,,
2021-01-01,SMALL BUSINESS,Cust11900,EU,PD1,46.74,62,,
2021-07-01,SMALL BUSINESS,Cust11902,UK,PD6,61.2,139,,
2021-01-01,LARGE BUSINESS,Cust11903,EU,PD7,118,133,,
2021-03-01,SMALL BUSINESS,Cust11904,NA,PD1,15,20,,
2021-08-01,Medium Business,Cust11907,UK,PD5,285.6,332,,
2021-06-01,Medium Business,Cust11908,NA,PD1,52.5,53,,
2021-06-01,SMALL BUSINESS,Cust11913,OTHERS,PD2,50,71,,
2022-02-01,Medium Business,Cust11915,NA,PD1,118,118,,
2021-08-01,SMALL BUSINESS,Cust11916,EU,PD6,92.25,92,,
2021-12-01,Medium Business,Cust6819,EU,PD7,94,94,,
2021-04-01,SMALL BUSINESS,Cust11917,UK,PD1,714,802,,
2021-03-01,LARGE BUSINESS,Cust6825,NA,PD3,165,232,,
2022-01-01,Medium Business,Cust11918,UK,PD5,337.68,338,,
2021-02-01,Medium Business,Cust11919,NA,PD6,431,431,,
2021-10-01,SMALL BUSINESS,Cust11920,MEA,PD1,120,160,,
2021-03-01,Medium Business,Cust11921,NA,PD6,427.2,527,,
2021-08-01,SMALL BUSINESS,Cust11922,EU,PD1,73.8,84,,
2021-06-01,SMALL BUSINESS,Cust11924,EU,PD6,98.4,114,,
2022-03-01,Medium Business,Cust11925,APJ,PD1,264.6,265,,
2021-09-01,SMALL BUSINESS,Cust11926,NA,PD6,591,657,,
2021-09-01,Medium Business,Cust11928,EU,PD1,843.78,1110,,
2021-03-01,SMALL BUSINESS,Cust11929,NA,PD5,57,57,,
2021-05-01,LARGE BUSINESS,Cust11930,INDIA,PD5,77.94864,162,,
2021-11-01,SMALL BUSINESS,Cust11932,INDIA,PD5,13.66632,14,,
2022-01-01,LARGE BUSINESS,Cust11933,NA,PD6,109,151,,
2021-11-01,SMALL BUSINESS,Cust11935,NA,PD1,54,69,,
2021-09-01,LARGE BUSINESS,Cust11936,MEA,PD1,425.01,582,,
2021-12-01,Medium Business,Cust1893,NA,PD1,177,199,,
2022-03-01,Medium Business,Cust11941,NA,PD1,118,236,,
2021-09-01,Medium Business,Cust11946,INDIA,PD4,46.49832,46,,
2021-06-01,SMALL BUSINESS,Cust11947,OTHERS,PD2,67.10787,75,,
2021-03-01,LARGE BUSINESS,Cust11951,APJ,PD6,4411.8,5130,,
2021-03-01,SMALL BUSINESS,Cust11952,NA,PD4,29,33,,
2021-09-01,Medium Business,Cust11953,INDIA,PD1,70.57512,176,,
2021-03-01,LARGE BUSINESS,Cust11955,EU,PD1,49,65,,
2021-10-01,SMALL BUSINESS,Cust11958,APJ,PD1,93.6,94,,
2021-04-01,SMALL BUSINESS,Cust11960,EU,PD1,19,22,,
2021-10-01,SMALL BUSINESS,Cust11962,INDIA,PD1,98.45496,125,,
2022-01-01,SMALL BUSINESS,Cust11963,EU,PD6,171,398,,
2021-05-01,SMALL BUSINESS,Cust11964,APJ,PD1,45.24,45,,
2021-10-01,SMALL BUSINESS,Cust11966,UK,PD7,48.96,98,,
2021-06-01,Medium Business,Cust11967,UK,PD1,92.48,92,,
2022-01-01,SMALL BUSINESS,Cust11969,APJ,PD1,95,95,,
2021-02-01,SMALL BUSINESS,Cust11971,EU,PD1,76,90,,
2021-10-01,SMALL BUSINESS,Cust11972,EU,PD1,55.35,77,,
2021-04-01,SMALL BUSINESS,Cust1916,NA,PD1,15,15,,
2021-04-01,SMALL BUSINESS,Cust11976,EU,PD1,27.33264,34,,
2021-07-01,LARGE BUSINESS,Cust11982,EU,PD1,84.87,85,,
2021-12-01,SMALL BUSINESS,Cust11984,NA,PD6,88.2,100,,
2021-05-01,LARGE BUSINESS,Cust11985,EU,PD1,180.81,181,,
2021-05-01,LARGE BUSINESS,Cust11987,NA,PD1,138,182,,
2021-10-01,Medium Business,Cust11988,MEA,PD5,150,185,,
2021-12-01,LARGE BUSINESS,Cust11990,MEA,PD1,1458.23,2083,,
2021-08-01,SMALL BUSINESS,Cust11992,EU,PD1,42.066,55,,
2021-03-01,LARGE BUSINESS,Cust11995,EU,PD6,135.3,135,,
2021-02-01,Medium Business,Cust11996,EU,PD4,428.0523,516,,
2021-08-01,SMALL BUSINESS,Cust11999,EU,PD1,15,19,,
2021-12-01,Medium Business,Cust12001,APJ,PD6,109,136,,
2022-01-01,Medium Business,Cust12002,NA,PD4,141,166,,
2021-02-01,Medium Business,Cust12005,EU,PD6,1107.0369,1107,,
2021-04-01,LARGE BUSINESS,Cust2007,EU,PD1,69,85,,
2021-12-01,Medium Business,Cust12006,NA,PD1,352.8,396,,
2021-03-01,LARGE BUSINESS,Cust12007,UK,PD6,5728.32,5728,,
2021-11-01,SMALL BUSINESS,Cust12010,OTHERS,PD2,88.806,117,,
2021-01-01,SMALL BUSINESS,Cust12012,EU,PD6,147.6,185,,
2021-03-01,LARGE BUSINESS,Cust12013,NA,PD1,78,78,,
2022-03-01,LARGE BUSINESS,Cust12016,EU,PD4,83,109,,
2022-03-01,Medium Business,Cust12017,NA,PD1,186.2,230,,
2021-11-01,Medium Business,Cust12018,NA,PD1,118,164,,
2021-01-01,LARGE BUSINESS,Cust12019,INDIA,PD5,76.95,92,,
2021-07-01,LARGE BUSINESS,Cust12020,UK,PD1,50.32,66,,
2021-03-01,LARGE BUSINESS,Cust12022,INDIA,PD1,300.01,612,,
2021-05-01,SMALL BUSINESS,Cust438,UK,PD1,20.4,57,,
2021-02-01,Medium Business,Cust12024,NA,PD5,302.5,414,,
2021-10-01,SMALL BUSINESS,Cust12025,NA,PD1,45,62,,
2021-08-01,SMALL BUSINESS,Cust12026,NA,PD1,60,68,,
2021-03-01,SMALL BUSINESS,Cust12027,NA,PD6,59,68,,
2021-01-01,SMALL BUSINESS,Cust12029,UK,PD1,29.92,43,,
2021-10-01,SMALL BUSINESS,Cust12030,APJ,PD1,35,43,,
2021-11-01,SMALL BUSINESS,Cust12031,NA,PD1,72,84,,
2021-07-01,SMALL BUSINESS,Cust12033,NA,PD6,95,271,,
2021-10-01,SMALL BUSINESS,Cust12034,UK,PD1,81.6,105,,
2021-09-01,Medium Business,Cust12036,EU,PD6,799.5,1110,,
2021-07-01,Medium Business,Cust12038,UK,PD6,255.0136,364,,
2021-10-01,Medium Business,Cust12039,NA,PD1,279.3,358,,
2021-06-01,LARGE BUSINESS,Cust12040,NA,PD1,138,159,,
2021-05-01,LARGE BUSINESS,Cust2097,APJ,PD2,250,321,,
2021-09-01,SMALL BUSINESS,Cust12041,INDIA,PD4,13.66632,17,,
2021-07-01,LARGE BUSINESS,Cust12042,MEA,PD1,1500.32,1830,,
2021-02-01,LARGE BUSINESS,Cust12043,UK,PD1,150.96,151,,
2021-01-01,SMALL BUSINESS,Cust12045,NA,PD7,19,23,,
2022-01-01,Medium Business,Cust12046,APJ,PD1,177,246,,
2021-07-01,SMALL BUSINESS,Cust12048,OTHERS,PD2,67.10787,82,,
2021-01-01,SMALL BUSINESS,Cust12049,EU,PD1,55.35,69,,
2021-03-01,SMALL BUSINESS,Cust12050,APJ,PD4,38.22,44,,
2021-06-01,SMALL BUSINESS,Cust12055,NA,PD5,32.3,38,,
2021-01-01,LARGE BUSINESS,Cust12056,NA,PD1,169.77,236,,
2021-09-01,SMALL BUSINESS,Cust12058,APJ,PD1,105,135,,
2021-01-01,LARGE BUSINESS,Cust12059,APJ,PD6,229.1328,229,,
2021-07-01,Medium Business,Cust12060,APJ,PD6,487.5,595,,
2021-09-01,SMALL BUSINESS,Cust1921,NA,PD4,18,25,,
2021-05-01,Medium Business,Cust12062,NA,PD4,85,85,,
2021-04-01,SMALL BUSINESS,Cust12063,APJ,PD4,29,34,,
2022-03-01,SMALL BUSINESS,Cust12064,EU,PD1,60,60,,
2021-01-01,Medium Business,Cust12067,NA,PD6,3450,3450,,
2021-09-01,SMALL BUSINESS,Cust12068,NA,PD4,18,20,,
2021-09-01,SMALL BUSINESS,Cust12069,APJ,PD1,45,59,,
2021-02-01,Medium Business,Cust12071,APJ,PD1,38.22,53,,
2021-12-01,SMALL BUSINESS,Cust12073,NA,PD1,34.2,34,,
2021-09-01,SMALL BUSINESS,Cust12075,EU,PD1,18,22,,
2021-01-01,SMALL BUSINESS,Cust12076,EU,PD1,93.48,104,,
2021-09-01,SMALL BUSINESS,Cust12084,APJ,PD7,288,288,,
2022-03-01,Medium Business,Cust12085,EU,PD4,400.14,400,,
2021-07-01,SMALL BUSINESS,Cust12086,EU,PD1,55.35,55,,
2021-06-01,Medium Business,Cust12032,NA,PD5,39,47,,
2021-02-01,LARGE BUSINESS,Cust12087,INDIA,PD1,42.39432,57,,
2021-03-01,LARGE BUSINESS,Cust12088,APJ,PD1,169,214,,
2021-04-01,Medium Business,Cust12089,MEA,PD6,218,279,,
2022-01-01,LARGE BUSINESS,Cust12091,INDIA,PD1,322.4355,403,,
2021-01-01,LARGE BUSINESS,Cust12092,NA,PD1,240,320,,
2021-05-01,SMALL BUSINESS,Cust12096,UK,PD1,193.12,193,,
2021-01-01,SMALL BUSINESS,Cust12098,EU,PD6,123,158,,
2021-11-01,SMALL BUSINESS,Cust12100,OTHERS,PD8,11,14,,
2021-06-01,Medium Business,Cust12102,NA,PD1,236.25,473,,
2021-08-01,SMALL BUSINESS,Cust3932,EU,PD5,93.48,107,,
2021-01-01,Medium Business,Cust12104,NA,PD1,55.35,73,,
2021-12-01,Medium Business,Cust12105,NA,PD4,47,59,,
2021-03-01,LARGE BUSINESS,Cust12106,EU,PD1,180.81,452,,
2022-02-01,SMALL BUSINESS,Cust6994,NA,PD1,18,21,,
2021-06-01,SMALL BUSINESS,Cust12109,EU,PD1,57,57,,
2021-10-01,Medium Business,Cust12112,NA,PD1,49,67,,
2021-08-01,SMALL BUSINESS,Cust12113,NA,PD1,19,19,,
2021-03-01,LARGE BUSINESS,Cust12116,EU,PD1,254.61,354,,
2021-03-01,Medium Business,Cust12117,NA,PD6,1985.55,5515,,
2021-04-01,SMALL BUSINESS,Cust12118,NA,PD4,144,360,,
2021-01-01,SMALL BUSINESS,Cust12119,NA,PD6,58,73,,
2021-09-01,SMALL BUSINESS,Cust12120,INDIA,PD1,18,25,,
2021-08-01,LARGE BUSINESS,Cust5863,NA,PD1,116.94348,150,,
2021-07-01,SMALL BUSINESS,Cust12122,UK,PD1,29.92,35,,
2022-02-01,SMALL BUSINESS,Cust12123,NA,PD1,36,36,,
2022-02-01,Medium Business,Cust12124,MEA,PD1,128,173,,
2021-10-01,SMALL BUSINESS,Cust12126,NA,PD7,18,20,,
2021-12-01,SMALL BUSINESS,Cust12127,EU,PD1,18.45,18,,
2021-07-01,LARGE BUSINESS,Cust12128,OTHERS,PD1,125,272,,
2021-03-01,SMALL BUSINESS,Cust12129,APJ,PD6,109.44,288,,
2021-11-01,SMALL BUSINESS,Cust12134,NA,PD1,35,70,,
2022-03-01,LARGE BUSINESS,Cust10734,MEA,PD4,983.25,1347,,
2021-02-01,SMALL BUSINESS,Cust12136,UK,PD6,40.8,49,,
2021-03-01,SMALL BUSINESS,Cust12138,EU,PD6,61.5,62,,
2021-03-01,SMALL BUSINESS,Cust12140,INDIA,PD1,19,50,,
2021-07-01,SMALL BUSINESS,Cust12141,NA,PD5,57,66,,
2021-09-01,Medium Business,Cust12142,NA,PD5,188,214,,
2021-12-01,Medium Business,Cust12143,APJ,PD1,590,747,,
2021-03-01,LARGE BUSINESS,Cust12149,UK,PD1,301.92,302,,
2021-08-01,LARGE BUSINESS,Cust12150,NA,PD1,207,207,,
2021-05-01,LARGE BUSINESS,Cust12151,EU,PD1,84.87,109,,
2021-11-01,SMALL BUSINESS,Cust12152,MEA,PD1,108,129,,
2021-03-01,SMALL BUSINESS,Cust12153,OTHERS,PD2,73.85832,84,,
2021-02-01,LARGE BUSINESS,Cust2144,APJ,PD5,405,405,,
2021-07-01,Medium Business,Cust12156,EU,PD1,271.215,377,,
2021-08-01,LARGE BUSINESS,Cust12158,EU,PD1,1800,2195,,
2021-12-01,Medium Business,Cust12162,NA,PD5,47,53,,
2021-06-01,Medium Business,Cust6935,NA,PD3,35,90,,
2021-06-01,Medium Business,Cust12168,NA,PD1,45,63,,
2021-07-01,Medium Business,Cust12170,APJ,PD1,135,161,,
2021-12-01,SMALL BUSINESS,Cust12171,EU,PD1,18.45,24,,
2021-09-01,SMALL BUSINESS,Cust12175,MEA,PD6,59,77,,
2021-09-01,Medium Business,Cust12176,APJ,PD1,295,295,,
2021-08-01,Medium Business,Cust12177,NA,PD1,354,354,,
2021-01-01,Medium Business,Cust12178,NA,PD6,405,471,,
2021-12-01,LARGE BUSINESS,Cust12179,EU,PD6,309.6,392,,
2021-04-01,SMALL BUSINESS,Cust12180,NA,PD1,95,127,,
2022-03-01,Medium Business,Cust12183,MEA,PD1,59,66,,
2021-08-01,SMALL BUSINESS,Cust12184,MEA,PD1,15,19,,
2021-05-01,SMALL BUSINESS,Cust12185,NA,PD6,1110,1405,,
2021-06-01,Medium Business,Cust12187,APJ,PD4,138,337,,
2021-01-01,LARGE BUSINESS,Cust12189,NA,PD5,296,389,,
2021-03-01,Medium Business,Cust12190,EU,PD6,285.6,336,,
2021-09-01,Medium Business,Cust7048,INDIA,PD1,59,134,,
2022-01-01,Medium Business,Cust12197,EU,PD4,42.237,42,,
2022-02-01,Medium Business,Cust12200,NA,PD4,315,354,,
2021-01-01,SMALL BUSINESS,Cust12202,NA,PD4,87,107,,
2021-07-01,SMALL BUSINESS,Cust12204,MEA,PD1,15,21,,
2021-11-01,SMALL BUSINESS,Cust12207,NA,PD1,94.5,95,,
2021-08-01,LARGE BUSINESS,Cust12208,NA,PD3,130,130,,
2022-01-01,SMALL BUSINESS,Cust12211,INDIA,PD1,15.4671,21,,
2021-06-01,SMALL BUSINESS,Cust7106,NA,PD4,70,97,,
2021-02-01,LARGE BUSINESS,Cust7107,APJ,PD5,177,201,,
2021-08-01,SMALL BUSINESS,Cust12212,NA,PD1,90,237,,
2021-09-01,Medium Business,Cust11936,MEA,PD4,210,292,,
2021-04-01,LARGE BUSINESS,Cust12215,NA,PD1,69,93,,
2021-08-01,Medium Business,Cust12216,NA,PD1,220.5,221,,
2021-03-01,SMALL BUSINESS,Cust12219,EU,PD6,92.25,125,,
2021-09-01,Medium Business,Cust12222,NA,PD5,94,108,,
2021-04-01,Medium Business,Cust12223,EU,PD6,307.5,308,,
2021-03-01,LARGE BUSINESS,Cust12224,NA,PD1,55.2,69,,
2021-04-01,Medium Business,Cust12225,OTHERS,PD2,150,170,,
2021-08-01,SMALL BUSINESS,Cust12226,APJ,PD4,23.4,30,,
2022-03-01,LARGE BUSINESS,Cust12227,EU,PD4,94.62,95,,
2022-01-01,SMALL BUSINESS,Cust12229,EU,PD6,171,206,,
2021-11-01,SMALL BUSINESS,Cust7126,NA,PD7,18,50,,
2021-06-01,SMALL BUSINESS,Cust12232,NA,PD1,22,28,,
2021-08-01,LARGE BUSINESS,Cust12234,NA,PD6,381.5,465,,
2021-06-01,LARGE BUSINESS,Cust12237,NA,PD4,149,298,,
2021-01-01,SMALL BUSINESS,Cust12238,UK,PD5,102,131,,
2021-07-01,SMALL BUSINESS,Cust12239,UK,PD4,29,33,,
2021-06-01,Medium Business,Cust12240,NA,PD6,1651.7,2039,,
2021-08-01,SMALL BUSINESS,Cust12241,EU,PD1,45,59,,
2021-06-01,Medium Business,Cust12244,APJ,PD1,1521,1950,,
2021-02-01,SMALL BUSINESS,Cust12245,EU,PD1,171,222,,
2021-03-01,SMALL BUSINESS,Cust12246,NA,PD1,57,63,,
2021-02-01,SMALL BUSINESS,Cust12247,NA,PD1,114,114,,
2021-07-01,SMALL BUSINESS,Cust12248,NA,PD1,14.25,19,,
2021-05-01,SMALL BUSINESS,Cust12250,MEA,PD1,19,24,,
2021-11-01,Medium Business,Cust12252,INDIA,PD1,49.23432,126,,
2021-10-01,Medium Business,Cust7154,MEA,PD5,47,62,,
2021-12-01,Medium Business,Cust12256,APJ,PD5,78,93,,
2021-07-01,SMALL BUSINESS,Cust12257,NA,PD7,19,38,,
2021-03-01,LARGE BUSINESS,Cust12258,APJ,PD1,392,392,,
2021-06-01,Medium Business,Cust12259,APJ,PD1,35,35,,
2021-11-01,SMALL BUSINESS,Cust12260,NA,PD1,45,45,,
2022-02-01,Medium Business,Cust12261,OTHERS,PD7,470,627,,
2022-03-01,Medium Business,Cust12265,INDIA,PD7,235,480,,
2021-10-01,Medium Business,Cust12266,MEA,PD1,118,155,,
2021-02-01,SMALL BUSINESS,Cust12268,NA,PD3,19,24,,
2021-06-01,LARGE BUSINESS,Cust12270,UK,PD1,187.272,187,,
2021-07-01,Medium Business,Cust12271,UK,PD1,277.44,277,,
2021-02-01,Medium Business,Cust12272,OTHERS,PD7,39,54,,
2021-08-01,SMALL BUSINESS,Cust2251,OTHERS,PD2,75,75,,
2022-03-01,Medium Business,Cust12276,NA,PD5,47,54,,
2021-02-01,Medium Business,Cust12277,NA,PD1,210,210,,
2021-02-01,LARGE BUSINESS,Cust4228,MEA,PD2,250,294,,
2021-06-01,SMALL BUSINESS,Cust12278,INDIA,PD1,19.13832,25,,
2022-02-01,Medium Business,Cust12280,UK,PD6,938,1173,,
2021-06-01,LARGE BUSINESS,Cust12281,NA,PD6,4684.5,5577,,
2022-03-01,Medium Business,Cust12282,NA,PD1,118,118,,
2021-08-01,SMALL BUSINESS,Cust12286,NA,PD1,36,36,,
2021-05-01,LARGE BUSINESS,Cust12287,NA,PD1,207,233,,
2021-12-01,Medium Business,Cust12288,EU,PD5,57.81,64,,
2021-03-01,SMALL BUSINESS,Cust12293,OTHERS,PD8,14,14,,
2021-05-01,LARGE BUSINESS,Cust12294,NA,PD1,220.8,260,,
2021-04-01,Medium Business,Cust11326,NA,PD5,80.2,111,,
2021-05-01,SMALL BUSINESS,Cust12299,EU,PD1,23.37,30,,
2021-03-01,SMALL BUSINESS,Cust12301,NA,PD1,30,42,,
2021-10-01,SMALL BUSINESS,Cust12302,NA,PD6,396.95,397,,
2021-10-01,SMALL BUSINESS,Cust12303,INDIA,PD1,757.5,935,,
2021-01-01,SMALL BUSINESS,Cust12307,EU,PD6,227.55,308,,
2021-11-01,LARGE BUSINESS,Cust12308,NA,PD1,79,100,,
2022-02-01,SMALL BUSINESS,Cust12309,NA,PD1,18,23,,
2021-03-01,LARGE BUSINESS,Cust12310,EU,PD1,100.64,116,,
2022-01-01,SMALL BUSINESS,Cust12311,NA,PD1,36,46,,
2021-10-01,SMALL BUSINESS,Cust4020,INDIA,PD5,65.60928,90,,
2022-03-01,Medium Business,Cust12313,EU,PD1,177,177,,
2021-05-01,SMALL BUSINESS,Cust12316,NA,PD1,114,144,,
2021-11-01,SMALL BUSINESS,Cust12317,APJ,PD1,93.6,134,,
2022-01-01,SMALL BUSINESS,Cust12320,NA,PD4,36,49,,
2022-01-01,LARGE BUSINESS,Cust9369,INDIA,PD6,141.8742,142,,
2021-08-01,Medium Business,Cust4030,APJ,PD1,73.5,92,,
2021-02-01,Medium Business,Cust12321,EU,PD6,109,222,,
2022-02-01,Medium Business,Cust12322,NA,PD4,753,896,,
2021-07-01,SMALL BUSINESS,Cust12323,NA,PD5,30,30,,
2021-02-01,SMALL BUSINESS,Cust12324,EU,PD9,612,1391,,
2021-01-01,SMALL BUSINESS,Cust12326,EU,PD1,40.8,58,,
2021-01-01,LARGE BUSINESS,Cust9373,NA,PD1,49,70,,
2021-10-01,SMALL BUSINESS,Cust12327,APJ,PD1,216,288,,
2021-05-01,SMALL BUSINESS,Cust12328,UK,PD1,306,306,,
2021-08-01,Medium Business,Cust12329,NA,PD6,1274,1448,,
2021-06-01,LARGE BUSINESS,Cust12330,APJ,PD1,607,1641,,
2022-01-01,SMALL BUSINESS,Cust12331,NA,PD1,54,150,,
2022-01-01,SMALL BUSINESS,Cust12332,OTHERS,PD2,72.2,88,,
2021-10-01,Medium Business,Cust12334,APJ,PD1,79.56,88,,
2021-02-01,SMALL BUSINESS,Cust4046,NA,PD1,19,19,,
2021-03-01,Medium Business,Cust12337,NA,PD1,288,356,,
2021-10-01,Medium Business,Cust12338,INDIA,PD5,92.99664,131,,
2021-12-01,Medium Business,Cust12339,NA,PD1,1652,1944,,
2021-08-01,Medium Business,Cust12341,UK,PD1,285.6,362,,
2021-04-01,SMALL BUSINESS,Cust12342,NA,PD1,75,75,,
2021-03-01,LARGE BUSINESS,Cust12343,EU,PD1,361.62,470,,
2021-01-01,Medium Business,Cust12344,NA,PD1,270,270,,
2021-09-01,Medium Business,Cust12345,NA,PD1,90,102,,
2021-03-01,SMALL BUSINESS,Cust12348,EU,PD1,70.11,91,,
2021-10-01,Medium Business,Cust12350,OTHERS,PD2,663.093,799,,
2022-01-01,Medium Business,Cust12351,EU,PD5,482.22,482,,
2021-08-01,SMALL BUSINESS,Cust12353,NA,PD1,36,48,,
2021-07-01,Medium Business,Cust12355,EU,PD1,221.4,221,,
2021-05-01,SMALL BUSINESS,Cust12356,APJ,PD1,57,74,,
2021-02-01,Medium Business,Cust12357,OTHERS,PD5,26.1,34,,
2021-09-01,SMALL BUSINESS,Cust12358,EU,PD8,14,17,,
2021-11-01,Medium Business,Cust12359,NA,PD1,213,473,,
2021-05-01,Medium Business,Cust12361,EU,PD1,110.7,142,,
2021-04-01,Medium Business,Cust12362,NA,PD1,45,58,,
2021-09-01,SMALL BUSINESS,Cust12366,EU,PD1,60,85,,
2022-01-01,SMALL BUSINESS,Cust12368,NA,PD1,15,18,,
2021-09-01,Medium Business,Cust12369,EU,PD1,813.645,814,,
2021-05-01,SMALL BUSINESS,Cust12370,NA,PD1,38,38,,
2021-06-01,LARGE BUSINESS,Cust12371,EU,PD1,145.755,394,,
2021-02-01,SMALL BUSINESS,Cust12372,UK,PD1,29.92,41,,
2021-04-01,LARGE BUSINESS,Cust12373,EU,PD1,276,276,,
2021-03-01,SMALL BUSINESS,Cust12374,EU,PD1,152,152,,
2021-07-01,SMALL BUSINESS,Cust12377,UK,PD4,39.44,44,,
2022-03-01,Medium Business,Cust12379,EU,PD6,513,597,,
2021-11-01,SMALL BUSINESS,Cust12381,INDIA,PD1,210,568,,
2021-09-01,Medium Business,Cust12382,EU,PD1,1306.26,1537,,
2021-08-01,Medium Business,Cust12384,INDIA,PD11,95,232,,
2022-02-01,SMALL BUSINESS,Cust12385,NA,PD4,15,15,,
2021-10-01,SMALL BUSINESS,Cust12388,NA,PD6,57,57,,
2021-04-01,LARGE BUSINESS,Cust12390,EU,PD1,98,98,,
2021-03-01,SMALL BUSINESS,Cust12391,EU,PD7,19,25,,
2022-01-01,Medium Business,Cust12392,NA,PD1,59,70,,
2022-03-01,Medium Business,Cust12393,INDIA,PD1,66.5511,75,,
2022-02-01,SMALL BUSINESS,Cust12394,NA,PD4,37,37,,
2021-07-01,SMALL BUSINESS,Cust7201,EU,PD1,15,19,,
2021-05-01,Medium Business,Cust12396,EU,PD2,150,203,,
2022-02-01,SMALL BUSINESS,Cust12398,NA,PD1,18,21,,
2021-03-01,SMALL BUSINESS,Cust12402,EU,PD6,307.5,394,,
2021-01-01,LARGE BUSINESS,Cust12403,EU,PD5,386.22,502,,
2021-12-01,Medium Business,Cust12406,INDIA,PD4,94,94,,
2021-07-01,SMALL BUSINESS,Cust12407,NA,PD4,63,63,,
2021-02-01,LARGE BUSINESS,Cust12408,NA,PD6,1661.6,1662,,
2021-06-01,SMALL BUSINESS,Cust12409,UK,PD6,217.6,218,,
2022-03-01,Medium Business,Cust12410,INDIA,PD4,225.6597,226,,
2022-02-01,Medium Business,Cust12411,UK,PD5,58,78,,
2021-12-01,SMALL BUSINESS,Cust12412,EU,PD6,5018.4,6046,,
2021-10-01,Medium Business,Cust12413,MEA,PD4,429,913,,
2021-12-01,Medium Business,Cust12415,EU,PD1,177,197,,
2021-11-01,SMALL BUSINESS,Cust12417,NA,PD4,15,20,,
2021-02-01,SMALL BUSINESS,Cust12420,EU,PD6,354.24,443,,
2022-02-01,SMALL BUSINESS,Cust12422,NA,PD1,35,41,,
